,hebb,hebb_smooth_rate,rate,uniform
0,7.38605562545119,7.403801856668775,7.421885087168219,7.426052966831975
1,7.3808504264177905,7.394572255715474,7.429597807492133,7.43434478001672
2,7.398781207481543,7.413849837294822,7.432422125664164,7.4362361757150115
3,7.409369224441583,7.4188211878868024,7.431057113714761,7.433117418473833
4,7.3799552840790135,7.4005553920703235,7.4295372449872685,7.432055628329074
5,7.3977074489506816,7.407461662905077,7.426291770491714,7.428427220201694
6,7.376444300300829,7.384191333133554,7.425032624019968,7.428936593388805
7,7.396130866126056,7.408482383323945,7.423878662471213,7.427538230287851
8,7.390846205773118,7.4004816479773385,7.430302687044066,7.433387543543386
9,7.388837349277709,7.395440871507208,7.422845988319745,7.426694357163012
10,7.408912019778651,7.417138627851882,7.431593578590455,7.4351512019287895
11,7.413387707773844,7.420267463757824,7.427163180898645,7.428531599691668
12,7.40473321604056,7.407925485571809,7.426435249203538,7.429504493484908
13,7.431357874498907,7.433334224398889,7.437235031645515,7.437640416382948
14,7.393871693368114,7.4078955790009235,7.426255925286066,7.429886747323753
15,7.409326647767586,7.417476016358732,7.430915458864337,7.433860976084739
16,7.422046581310299,7.424738079982367,7.430384607995434,7.432590809925939
17,7.418982381175804,7.42406253207743,7.4312572938092085,7.4336540429204465
18,7.400719355400328,7.405739865549352,7.427666101049947,7.430858073739934
19,7.390346574004501,7.409465795580454,7.4282735677002165,7.430227227957439
20,7.4022532557796055,7.409628100461064,7.426570004708447,7.4303769259585115
21,7.42307630840372,7.428862682457745,7.435508972932067,7.4368179530001735
22,7.391201428014926,7.399594832618458,7.428239715028758,7.431487817986123
23,7.407256967533817,7.4146452806678536,7.433071728334163,7.436326228259028
24,7.392355007145402,7.403258605907653,7.427661758580047,7.4312739162683314
25,7.375693829658815,7.397600033621124,7.4303469429941,7.433231646380199
26,7.39559251166313,7.407530521549694,7.428792290890177,7.432809267473945
27,7.375256248889892,7.387044833125481,7.426945780659413,7.4308096400270225
28,7.38795072953158,7.401514081581052,7.4280853776742735,7.431666570425255
29,7.41031255053297,7.417434229242498,7.427372117846994,7.428470196593323
30,7.388770879705476,7.401979491412257,7.4250694854157455,7.428383312698396
31,7.418718540744297,7.422815853020859,7.431619392304544,7.433238913038651
32,7.411887953318283,7.423102619521636,7.438196686289921,7.439876642848074
33,7.3954778404322585,7.405645090488927,7.425458808735323,7.428788934124931
34,7.421305835233629,7.425928107485072,7.4322755730805845,7.433279839911707
35,7.390966388735985,7.3987330334173,7.426729354608469,7.431001002407165
36,7.395982432514932,7.413388729705709,7.432316279625329,7.434673428375849
37,7.410091723125852,7.414680870104447,7.425415529491511,7.428800087029501
38,7.400105779114538,7.412993391335294,7.426972099524251,7.430273783971866
39,7.4170663648261375,7.4213172658140865,7.42800820678599,7.430380271271914
40,7.4106355359117595,7.41881607363324,7.429316764595836,7.430591620752608
41,7.397110195959277,7.409705854925683,7.428745963044689,7.431364545791752
42,7.363472917804536,7.373732435916322,7.4243424703069385,7.427294943222558
43,7.401531530036601,7.413780722929215,7.430721128686786,7.434123546364697
44,7.374385574017776,7.389858027811208,7.431564302553132,7.435980611090671
45,7.373664209464992,7.392248842128851,7.4272759567749125,7.429967219717974
46,7.39767426963653,7.411203428231637,7.4300378399836315,7.432005684950459
47,7.397457488517391,7.407916887845757,7.430679951787733,7.433581030950248
48,7.380837071532888,7.388490738581958,7.416938784837645,7.422362522916153
49,7.390127547537316,7.407249702744073,7.4317531818435025,7.435984071940446
50,7.409161589892511,7.419771747752296,7.434288599217032,7.43595492674389
51,7.401598592919104,7.411739839037496,7.431254555136105,7.433637091874077
52,7.420035045378457,7.423526364321807,7.42944742141566,7.43041307874852
53,7.389892721080585,7.41578736338265,7.434938956698113,7.437609338187531
54,7.395127871172271,7.407547191369455,7.4231419562177,7.425456898164246
55,7.409928792843054,7.418792300693551,7.433181513189298,7.4354249491049735
56,7.389153246025312,7.402437170625229,7.429948144004024,7.433235423566119
57,7.380793338099275,7.391831230431974,7.425068736690161,7.428872355894139
58,7.393719732168647,7.407136839889802,7.427698333650758,7.431596858475493
59,7.42611480590627,7.4287889341657305,7.433015206868871,7.43481330753345
60,7.412801084766323,7.418314736759023,7.429371126576619,7.432534879525809
61,7.3982802724624115,7.408692111458686,7.429434582657693,7.4325028309634655
62,7.3803823169612,7.388892437465551,7.423595877121723,7.427337802078004
63,7.402088864032238,7.409310270486593,7.425562745575328,7.429549563889518
64,7.3883643720414565,7.397279867632577,7.427133207914297,7.431127240436794
65,7.3933552807820515,7.4087990254791425,7.431620986323178,7.435768329805806
66,7.402988438124632,7.411656777574153,7.423542901807105,7.4259983099430595
67,7.405933036408453,7.412563413357503,7.421959293950337,7.423852652025715
68,7.405318984347616,7.413990846644882,7.429245704365359,7.43247261701968
69,7.375870331390367,7.3896758163048855,7.425243973718433,7.429224738859243
70,7.420439230867712,7.4230306234850465,7.430214853614368,7.431982982142218
71,7.414248359407317,7.417861222011728,7.425138055090684,7.426702893072896
72,7.405225707118982,7.413032382307794,7.428411799363669,7.431978676626722
73,7.401036943055575,7.415163171242939,7.430370273849056,7.432403961168841
74,7.408280649463725,7.4191517947359635,7.43231175137767,7.434762616240524
75,7.412455568537272,7.418243022130159,7.426632914204056,7.4282055325281915
76,7.406046752027404,7.417003454380441,7.431227768852713,7.4346446596555795
77,7.3676737887746695,7.380095556843016,7.427712349175456,7.432308805338973
78,7.397516767552,7.408688319113343,7.425803092511298,7.428045043318946
79,7.390909257158566,7.412622857576332,7.4297524662614,7.4323907674279965
80,7.411433809154071,7.419324195906143,7.4322529807584905,7.435224157158631
81,7.402832714446356,7.414741575017447,7.427760318197127,7.430169545546448
82,7.404709162788982,7.416245485321916,7.427504296010559,7.429512374809796
83,7.407296695310365,7.4156652543395545,7.425933776202563,7.428310557952317
84,7.410844228409674,7.418094340532392,7.424433534578095,7.425327787011789
85,7.419121083886398,7.424694694733086,7.431577387415739,7.4326735234057
86,7.420717200135075,7.42440332604264,7.43338075996773,7.43544117701499
87,7.427102461856202,7.429046406658481,7.434523641288922,7.436120001632859
88,7.408804304425888,7.415646511785976,7.425952817352686,7.428681331760239
89,7.411078030202134,7.416895641269232,7.426388750365351,7.42849243613073
90,7.40636122298392,7.4129019540661965,7.424865916875401,7.427303166814505
91,7.419718287771683,7.4235798575869385,7.430707424999107,7.432537275283817
92,7.401701796976726,7.4087440093043595,7.430472500626397,7.4338691921151865
93,7.4052216794650505,7.412540176625604,7.4255782819234755,7.426917131894444
94,7.4049408191354615,7.413815894073539,7.429784821519378,7.433424520874741
95,7.423033746907884,7.425060520090517,7.431149563744286,7.43241593498807
96,7.413586430634851,7.416609638769286,7.425822404984082,7.427514155916513
97,7.416724819302905,7.4228917000115455,7.430816741013384,7.432580271607973
98,7.36562886210661,7.383724873425946,7.424768284855033,7.428948204142403
99,7.410493690788693,7.4171918578585645,7.429533470160742,7.431702726192372
100,7.374394845264474,7.396658162584632,7.426823600567158,7.431008584421141
101,7.4196271223218595,7.423638104539463,7.432308946932218,7.435181447227067
102,7.413676434033784,7.41994513107943,7.430315634733977,7.43272432992425
103,7.419090357676911,7.426608943573083,7.433500007854396,7.435496290283336
104,7.4131819714974325,7.416944135912069,7.425257768230038,7.426637806168428
105,7.408512752536378,7.417718675689697,7.429204243508752,7.43095356704916
106,7.414259799509558,7.42176572339933,7.431432865376917,7.433812334823353
107,7.391098510899834,7.404944058137314,7.433613517084126,7.438510301424022
108,7.419630369088042,7.42539067292758,7.4346148424640015,7.436585798708579
109,7.407090281037508,7.411780576501357,7.425026535292983,7.427791708377714
110,7.408116532175384,7.412954578492954,7.428496056523238,7.431256802260544
111,7.4205514679208875,7.42222477825053,7.426464329433045,7.426917250392025
112,7.389404747046278,7.404066573216015,7.43073896014255,7.434117969081679
113,7.385413163195111,7.403694979644332,7.42461248400204,7.427968197911417
114,7.4104842030930556,7.421216981347477,7.433783976234016,7.436731118177807
115,7.416054708294521,7.42005568846496,7.427979334400129,7.429611214114445
116,7.383243007661257,7.403156124525017,7.427303516398922,7.429784490684028
117,7.408480866538383,7.4172185011841165,7.431519239823349,7.4344755872453465
118,7.408891965427321,7.41693401991088,7.426796364577825,7.429928841662151
119,7.430630316474703,7.43121361458648,7.435493238163259,7.43639374277543
120,7.388051813644655,7.397261571047812,7.426861738033056,7.431620783729892
121,7.389283569058287,7.395972655435569,7.428619382875034,7.433434332217926
122,7.414486898666295,7.418047942527776,7.427096636323333,7.42964473688015
123,7.401778764974054,7.414829345655379,7.4320806431979705,7.434831825223915
124,7.40067962166863,7.40984371724426,7.427905513152526,7.430793953783396
125,7.379929792595533,7.401286938517215,7.427764151026139,7.431031583519997
126,7.423121866597203,7.427080074420454,7.433298678754602,7.434843617520498
127,7.406184324718341,7.415540949013717,7.429872614002697,7.433723219180285
128,7.396467395557288,7.408825565228452,7.430762581096985,7.4344398444618065
129,7.409610361705463,7.415019762250151,7.431283887604507,7.434078982563396
130,7.405127967244489,7.411452897495916,7.424768173762134,7.428131292701206
131,7.407460387988458,7.416945238645491,7.430371907080254,7.432624943245713
132,7.41957628005163,7.424347415744844,7.430993491206767,7.43268020122451
133,7.422456278125837,7.423685824669203,7.428408959708881,7.429102438168991
134,7.413557427006796,7.420307032003919,7.430704466217939,7.433022627968445
135,7.411593997825008,7.420032152665442,7.427848787501848,7.429711311913723
136,7.363568720979518,7.380278568386503,7.422650218277301,7.428516776083471
137,7.391388471093888,7.4008314466851495,7.422891329700483,7.425956343646499
138,7.41537171495823,7.419733562206924,7.428744841382319,7.430607512171003
139,7.3736981341036305,7.385695373753931,7.427572989731206,7.431939473224459
140,7.415396569828028,7.424444357285245,7.433105532691949,7.435233226950835
141,7.407837507221149,7.4152639279181205,7.430926613392802,7.433720411464221
142,7.406714853452398,7.409274303837482,7.4281662522539875,7.431272748667547
143,7.4120394841995605,7.416529468050257,7.427683406670612,7.429890244303044
144,7.38851732197707,7.4071473304474935,7.4244394268236995,7.4267746938840205
145,7.414101248907703,7.419325392573884,7.432384251257614,7.436019254593777
146,7.3969154907100405,7.40947111073803,7.426542187930876,7.429044540839209
147,7.386779511465646,7.399647726746377,7.430640454142158,7.434764550450025
148,7.402596762454193,7.4155651875397615,7.428452361340928,7.429879840508585
149,7.416776310017532,7.422402214421734,7.428180941875439,7.429571458494975
150,7.410241125529021,7.422161144250128,7.433086457766979,7.4351918236872105
151,7.3723651171833735,7.393438602014053,7.430739202786819,7.4355516389458085
152,7.420978342162927,7.4267487043208185,7.431185119985308,7.432008610040954
153,7.39691730992657,7.408399448621795,7.430832581914309,7.434227464701525
154,7.395741073708557,7.411342924085986,7.428908670721277,7.432390002197296
155,7.396159712261895,7.407465123484984,7.425992650272287,7.428268520144433
156,7.369655217466319,7.3804211045782875,7.427080335757061,7.432240948782943
157,7.420100176018168,7.42343873348589,7.431434233638232,7.433011829837886
158,7.384776311122474,7.396270556046563,7.428497924811409,7.432304081654122
159,7.425400107204606,7.4274773636160045,7.433347492298115,7.4348898422177285
160,7.374952705884962,7.389041566480729,7.424916030702114,7.42952389260073
