,hebb,hebb_smooth_rate,rate,uniform
0,5.1649679541150295,5.186151614965162,5.236201948545181,5.241747015059643
1,5.2467034249197715,5.285989651602668,5.328312082576916,5.332718793265369
2,5.251785916166686,5.281804545653284,5.280091203216033,5.288267030694536
3,4.953381854586322,5.072654045213049,5.295732317080649,5.298317366548037
4,5.215409360956938,5.256631889139536,5.245030551232401,5.257495372027782
5,5.370801191761231,5.39715994305686,5.391794524040282,5.402677381872279
6,5.184840955812356,5.209320109988303,5.203998443099075,5.214935757608986
7,5.244263538735838,5.272263488987939,5.371795083694957,5.375278407684164
8,5.218283103121139,5.279849988877945,5.2831005773140856,5.293304824724492
9,5.2928148624710945,5.311265216017911,5.300183337156647,5.313205979041788
10,5.237628257029765,5.27652012645575,5.25972806863483,5.278114659230518
11,5.311975888627478,5.333633943435405,5.360948699279561,5.365976015021852
12,5.0716853024920105,5.126249653094513,5.25961479151179,5.2626901889048865
13,5.279518991382145,5.306245729210781,5.2918675778495015,5.308267697401205
14,5.216477264352944,5.254522913249003,5.303730349275943,5.308267697401204
15,5.208398741945512,5.235576900353964,5.223888888849124,5.236441962829948
16,5.3288789923045625,5.351112680291161,5.346456926650404,5.356586274672012
17,5.147211436592553,5.204410629580638,5.195722208279583,5.209486152841421
18,5.092585448816521,5.176382576846603,5.1633010717323895,5.181783550292086
19,5.278228784713056,5.317651608316796,5.3048951635758606,5.3230099791384085
20,5.229591625762271,5.252356554159688,5.430978957984334,5.43372200355424
21,5.234648710279654,5.250724100670952,5.250027417576874,5.262690188904886
22,5.132795399107646,5.160345604311264,5.174535427636512,5.181783550292085
23,5.242052975845068,5.250232193994638,5.245418664099299,5.2574953720277815
24,5.1863186835327655,5.206311792334765,5.2062322194294826,5.214935757608986
25,5.197412884623723,5.214205766497586,5.201964152420171,5.214935757608986
26,5.166763956581657,5.180504621297005,5.1910864693023475,5.198497031265826
27,5.29139258139693,5.309141697984421,5.3205705384816655,5.327876168789581
28,5.268178625776319,5.282262827129678,5.267500893154724,5.2832037287379885
29,5.2590986926975285,5.2951178913772035,5.294831107214261,5.303304908059076
30,5.276009424785544,5.298751361527666,5.294263224475978,5.303304908059075
31,5.279096555011515,5.302495385914648,5.293340871233679,5.303304908059076
32,5.170727961766052,5.188324781835766,5.209425398991061,5.214935757608986
33,5.146908851074369,5.26139640396598,5.286287759185247,5.293304824724492
34,5.260733889471162,5.280128801374323,5.280594855204383,5.288267030694534
35,5.3435883265613064,5.356158006274885,5.3716860033146325,5.37989735354046
36,5.24785683465632,5.28948698521171,5.321837929029031,5.327876168789581
37,5.239652379340331,5.2668521799728545,5.2537970370800515,5.267858159063329
38,5.0801077697575066,5.102427092253558,5.223122751146708,5.225746673713202
39,5.332667412389195,5.358882925845196,5.341585613035367,5.3612921657094255
40,5.238480450356815,5.245784007775134,5.248948146581387,5.2574953720277815
41,5.3414882341247925,5.3632489198350015,5.3723806056339765,5.379897353540459
42,5.276444152251546,5.287135260731132,5.3433605616720605,5.3471075307174685
43,5.132093489020109,5.145063288050685,5.131290131284458,5.147494476813453
44,5.242005400816234,5.256946917516374,5.243727509394074,5.2574953720277815
45,5.265047394580943,5.323446717126709,5.368472956853926,5.375278407684164
46,5.351948650607068,5.376026562825333,5.367213741352044,5.37989735354046
47,5.261830156517073,5.277518454789915,5.286405775512104,5.293304824724492
48,5.226956691097217,5.2544823520250965,5.252200454602482,5.262690188904884
49,5.0809518342906,5.103666071732067,5.178219079844687,5.181783550292085
50,5.260872979485591,5.274536579179996,5.2602702400271255,5.278114659230518
51,5.233278220167231,5.269542540828791,5.249505136761632,5.272999558563747
52,5.216592588042758,5.246031289346904,5.232358796490505,5.247024072160486
53,5.147746712661934,5.164345402564431,5.17218249124051,5.181783550292085
54,5.2280906692395614,5.32581283092644,5.342661182068659,5.3518581334760675
55,5.306771996249479,5.334529679372732,5.360178830415614,5.365976015021852
56,5.177490750023649,5.223106776609347,5.329295380791411,5.33271879326537
57,5.258374890497885,5.286249229995136,5.273714164916656,5.288267030694536
58,4.740986711586781,4.686988866394243,5.239228327021426,5.241747015059643
59,5.2332698266107975,5.271453689328183,5.334096094981895,5.337538079701318
60,5.314894144544976,5.333661727761138,5.348372619985098,5.356586274672011
61,5.249727584272548,5.292644797960714,5.278127570308857,5.293304824724492
62,5.198916177592568,5.212977021137496,5.267589714582286,5.272999558563747
63,5.220451547725984,5.225367572521604,5.262171786413535,5.26785815906333
64,5.389718376663717,5.4292709684123,5.421407456830567,5.43372200355424
65,5.218319442080648,5.2328200886077,5.240297919156865,5.247024072160487
66,5.148485877763037,5.15787826900584,5.1444643665879,5.159055299214529
67,5.168250539808292,5.197755535782605,5.183042167474408,5.198497031265826
68,5.222651511356161,5.237041350191692,5.231558430070466,5.241747015059643
69,5.315590727036241,5.347250373632367,5.357939791201506,5.365976015021851
70,5.322856745084382,5.3506226476623535,5.337663310082655,5.3518581334760675
71,5.193567135227679,5.207986422676349,5.206491590836066,5.214935757608986
72,5.354723212360609,5.386943787603853,5.3760687408614585,5.3890717298165
73,5.321850727648025,5.337337397135619,5.369600045268509,5.375278407684165
74,5.278436886976276,5.324636422575583,5.317543872440602,5.327876168789581
75,5.366470791509775,5.397680621085366,5.3834335105727495,5.398162701517753
76,5.243486770737604,5.278622291688359,5.283139875052183,5.293304824724492
77,5.268264026743608,5.289622707189561,5.311943170242383,5.318119993844216
78,5.257305890783649,5.276401874480813,5.273268264591527,5.283203728737988
79,5.238805357481025,5.260199349517129,5.303304552701549,5.308267697401204
80,5.216422242006724,5.243296850095251,5.256712676109402,5.2626901889048865
