,hebb,hebb_smooth_rate,rate,uniform
0,7.854391249934306,7.86132110806595,7.871490627877779,7.873036053318192
1,7.8581297361560996,7.86179172955435,7.872242644254096,7.873794926093941
2,7.8542034145514945,7.859885296516376,7.8707903521337155,7.872516222386075
3,7.856106438084081,7.860645444480749,7.869607950232009,7.870400096084821
4,7.858188650920333,7.861822550869251,7.870838449368689,7.872101069824248
5,7.867153869467948,7.869969357147173,7.8780487038229285,7.8792628184055715
6,7.839875657111689,7.849398645251707,7.870638882988371,7.87263387917513
7,7.856842250735812,7.859590182976413,7.869597911374857,7.871163370393249
8,7.854892862832005,7.861031817204883,7.87112497618477,7.8718686302382945
9,7.851816283073807,7.85856998494975,7.871911912192823,7.873085337842243
10,7.859838250658465,7.862245416297098,7.869289153654393,7.8697715264458115
11,7.844483413969861,7.8478113876229685,7.86644191697869,7.868631508286687
12,7.849760496282179,7.856135259166154,7.869845017327345,7.870952342566792
13,7.846211208862932,7.850359504081003,7.869016162063187,7.871603805084398
14,7.853440285958153,7.859443895015133,7.872109153386992,7.87326767941785
15,7.848447042461028,7.854229827099049,7.875901774170324,7.878170416451041
16,7.86419107453564,7.865873501812637,7.872165766255714,7.873346057149908
17,7.860807552266645,7.864495075983686,7.872307468908367,7.8735160816890595
18,7.851004978964199,7.856055625708528,7.874958442405452,7.87713059044187
19,7.864054281790442,7.866053214779889,7.873160967234522,7.873951287598747
20,7.849644628486325,7.8539643666595875,7.866825462311354,7.869603654139265
21,7.844799766587336,7.848040415384216,7.873981976896651,7.875909700554735
22,7.8551443571937805,7.859062503112671,7.8682897759851755,7.870076026879431
23,7.832987763625713,7.837477789448226,7.872114874016807,7.873971582516112
24,7.8647758084349615,7.868020317885934,7.874935231562792,7.876348114682194
25,7.820896020059106,7.822352547700065,7.870992076454521,7.874551782461008
26,7.873852761611147,7.873091167937271,7.874004000022536,7.874197656993901
27,7.863622117810071,7.868102558123579,7.8772440242986566,7.877873837091323
28,7.856368806637563,7.860538993665299,7.873149511602413,7.87532200547237
29,7.8647623197774905,7.867451324262179,7.875171317863668,7.8763795882272305
30,7.8652256774322,7.866380869193216,7.8710428716969725,7.871444034586352
31,7.826310483438537,7.832682313705666,7.871012470223777,7.873785208956104
32,7.822860712472194,7.832542471999949,7.869263808429312,7.87187855012502
33,7.8564079621122875,7.862777173144283,7.870732026910458,7.872108631484403
34,7.862708549862505,7.864524077728007,7.8727176958984035,7.874014148865849
