,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle,hebb,hebb_smooth_rate,shuffle
450.0,645.3190469789392,562.3641677964305,219.1857387507092,542.0,672.127048370434,550.7359626350868,179.35760146118483,544.0,603.6201561391058,494.957886283328,98.23485890115501,459.0,507.8064480403618,413.10871268538193,50.76741423307211,334.0,337.24556001986366,311.4758111085571,19.66772258977226,249.0,233.56930700548412,208.49368446751646,11.611048719866755,145.0,129.20732834222082,144.32303997255104,0.07073484757242912,80.0,73.367903511632,77.8041531451798,0.029930259533158362,40.0,40.271749325277696,46.056887204992,25.0,24.54991853144653,34.54952152018413,7.0,7.861472972209374,16.435700092283714,3.0,4.178718595541069,5.266507967128509,1.0
500.0,654.118675136479,569.684207356248,221.31427873883928,542.0,677.9222093775373,559.8756310248214,183.0728296996359,544.0,613.2661684995774,509.23376005707263,100.89444798637521,459.0,523.3882306477093,425.99775566898853,54.06941751278723,334.0,349.8371820940124,320.3747858765489,20.028489913483817,249.0,241.86946469855948,214.17268637895015,11.906155803355366,145.0,135.17524053440096,149.40715336648148,0.12300712346948299,80.0,78.3954283000104,82.46322360031903,0.05254302989095218,40.0,41.109634422374846,49.43137958890584,25.0,26.635372111181272,35.356647230089266,7.0,8.121895321337067,17.177452541061264,3.0,4.267509617762887,5.579751871213623,1.0
550.0,657.7170368312911,578.3380233257873,224.44444551326757,542.0,685.7282603287281,567.142507803336,183.83305485323302,544.0,624.4647366562183,520.4074670637755,103.7204865146289,459.0,540.7520821942195,440.18083055197263,56.76442825906193,334.0,356.24518276894105,333.3742407724653,20.537240586528913,249.0,249.81283591183063,218.81671703889782,12.141982670659946,145.0,147.9959144017339,154.5018432631704,0.17527939936653686,80.0,81.11085784583959,89.13730132126595,0.07515580024874599,40.0,42.974332563310234,57.17986649950869,25.0,28.288212725505737,36.500812112263226,7.0,8.27464637394789,18.175803020835307,3.0,4.356300639984704,5.892995775298737,1.0
600.0,666.1871769139005,584.7255168263366,232.61977256904154,542.0,697.8680995665727,576.6541350316393,187.17848811762613,544.0,631.9886724097402,528.6693738924985,108.05113347789795,459.0,551.6018574335017,450.0917038326907,59.85310344827586,334.0,372.728240787198,342.44610942582506,21.144041390309845,249.0,260.37985755561215,226.44354463506832,12.350168553817143,145.0,162.72851647871317,158.713604988451,0.2275516752635907,80.0,82.2465743243871,92.81456718461781,0.09776857060653982,40.0,43.70185665518384,58.58072643799916,25.0,28.77130451294535,37.67380123910447,7.0,8.427397426558713,19.496749867087562,3.0,4.445091662206522,6.201765066981195,1.0
650.0,671.4228649691128,587.9019422137159,236.48181803631164,542.0,705.7463494960252,584.3783717626488,189.54825919360437,544.0,641.4438626178998,539.3301572384929,110.8201435238621,459.0,559.7329553336108,460.27334445564014,60.648162582278964,334.0,389.6578018938485,350.3153440104103,22.886589355577225,249.0,266.77421429370315,233.69844757096507,12.55835443697434,145.0,167.97144351920477,164.22849395900064,0.27982395116064457,80.0,85.44530270141473,97.69924738707938,0.12038134096433363,40.0,44.65461094961708,61.44323791584901,25.0,30.227948990435706,40.630505730682955,7.0,8.580148479169535,20.520700555098685,3.0,4.53388268442834,6.5082127761611215,1.0
700.0,675.5827856918553,592.6500015258789,241.22844853100767,542.0,709.341586382367,589.5742098359033,192.99889577904807,544.0,645.4944605781071,541.881131159479,113.66408619085117,459.0,568.0243844344539,468.0727403872829,63.00712153274235,334.0,399.75000205091186,359.42593634644817,23.424893818306916,249.0,273.30609362302266,240.99313429917376,12.76654032013154,145.0,173.1401551331437,166.33376581252028,0.3320962270576984,80.0,87.25951838544454,100.42428108182433,0.14299411132212744,40.0,46.768701039680884,62.726145525350745,25.0,33.19840403737165,41.42237456150709,7.0,8.732899531780358,21.522006971438945,3.0,4.622673706650157,6.814660485341048,1.0
750.0,682.8321014792868,598.1165993303433,243.62376117959874,542.0,711.8776820086051,592.8732911707034,199.3061683155666,544.0,652.749998785128,550.5805409638161,115.29833575706826,459.0,574.0218794753472,474.93442196473956,63.631809360404155,334.0,409.38929611020916,366.73234706843346,23.876524363350885,249.0,276.2481649114945,248.36047767682592,12.974726203288737,145.0,180.10670301502083,168.97068881789139,0.3843685029547523,80.0,90.71691548273579,101.69577042293689,0.16560688167992127,40.0,48.561844924671526,66.95997686482447,25.0,34.268827252854265,42.54674505057491,7.0,8.88565058439118,22.03443163712258,3.0,4.711464728871975,7.180720732689638,1.0
800.0,687.2585985109752,600.933218161889,247.21759278882155,542.0,715.8194538205557,597.6899857389644,199.92922127506816,544.0,663.3663365139987,553.9381851260317,115.97483444693012,459.0,576.7802452474322,484.24228991975906,64.34446336715185,334.0,417.59830829978324,377.88810671149594,26.019131453437222,249.0,284.27582411216036,254.697070711842,13.507391822644193,145.0,189.60545163902094,172.89030108820268,0.4366407788518062,80.0,93.1547882357402,105.8507475237291,0.18821965203771507,40.0,49.14944160844644,67.47119533177485,25.0,34.788199745385754,45.09704498012463,7.0,9.232864243652251,22.198862073935086,3.0,4.800255751093792,7.638009810056452,1.0
850.0,690.4750540438528,605.537516879022,249.79119835896435,542.0,723.9608240416803,604.7780717131474,204.19277963505968,544.0,669.3811753145983,561.166824926495,117.40328550573695,459.0,581.9903037373302,485.7558741135506,65.71813493527534,334.0,429.4333674760499,385.80974297245626,26.211987992608737,249.0,289.21931510466237,257.68890869327214,14.045291946163582,145.0,193.42242343852868,177.69307977778422,0.48891305474886004,80.0,94.50746993805417,107.6059333372859,0.2108324223955089,40.0,49.56922169533353,67.9488872030243,25.0,36.11513194649902,45.516789792494805,7.0,11.001108602439151,22.36329251074759,3.0,4.889046773315609,8.036302769962525,1.0
900.0,693.7002194582761,609.68381405061,251.71069105938128,542.0,734.5147559846912,609.7201404330732,206.70936507344058,544.0,678.1573233308327,564.9605357672837,117.84490370868724,459.0,590.9515964342669,490.1800934447119,66.56909882724666,334.0,434.28288628332797,393.22313952315295,26.40484453178025,249.0,297.0221475660688,264.4910435595141,14.353401446896056,145.0,197.4805567455126,180.89011488284547,0.5411853306459139,80.0,97.8193402599823,110.15633513641568,0.23344519275330272,40.0,49.98900178222063,70.18652043800968,25.0,36.41923123610496,45.93653460486498,7.0,11.924981560885168,22.5277229475601,3.0,4.977837795537427,8.21050060826772,1.0
