,hebb,hebb,hebb,hebb_smooth_rate,hebb_smooth_rate,hebb_smooth_rate,rate,rate,rate
,1600,1600,1600,1600,1600,1600,1600,1600,1600
,tot_excit,tot_inhib,act_counts,tot_excit,tot_inhib,act_counts,tot_excit,tot_inhib,act_counts
0,5.239143249150869,5.48817380054577,0,5.388361776197279,6.063890925935796,0,6.054277510256381,9.776265588966577,0
1,5.3021517834031435,6.077282814017262,57,5.455016219472311,6.740705088319549,54,6.164316137152983,10.046848693525936,0
2,5.220802990165916,5.3464120932527495,0,5.365307343972696,5.923579799967843,0,5.957953601270109,9.638207048983187,0
3,5.281618987812715,5.725119911572513,0,5.392728097298566,6.3556939573848945,0,5.988592042642482,9.918858752531163,0
4,5.196636349967356,5.228489492716414,1,5.333184724443414,5.773094508085357,0,5.937917746854632,9.548075836695983,0
5,5.262191646977474,5.625129810289333,0,5.413846034752695,6.2242173270175325,0,6.075340810574984,9.80004096031189,0
6,5.325562472039081,5.955413001648923,17,5.472475072170826,6.566317787829865,15,6.151064791577927,10.068228483200073,0
7,5.338505382537842,6.08476599375407,46,5.463622150421143,6.877164144515992,34,6.255239162445069,10.133838888804117,0
8,5.321798417303297,6.135812701450454,0,5.457828786638048,6.843943195210563,0,6.29824517832862,10.292456216282314,0
9,5.273583719100075,5.820215480080966,88,5.417856632978067,6.393822708349117,371,6.089365871473291,9.941997517114398,0
10,5.2687711366793,5.645805938941676,0,5.4078040646343695,6.229776991576683,0,6.142966956627078,9.824809940849864,0
11,5.281487059593201,5.9392763584852215,0,5.421961259841918,6.582914598286152,0,6.048018914461137,9.956433284282685,0
12,5.355781121687456,6.156489179892974,22,5.515403883023695,6.849243682893841,11,6.237698511643843,10.158651200207798,0
13,5.216112233497001,5.267200531186284,0,5.380412133964333,5.831328050510303,0,5.955671909693125,9.57165651708036,0
14,5.280286083482716,5.605266432239585,0,5.426157121788965,6.239937401797674,0,6.149422684760943,9.820943923845682,0
15,5.344378250523618,6.662529996821754,224,5.487017305273759,7.603540977678801,258,6.416645526885986,10.43718897668939,1601
16,5.416330424222079,6.491037704727868,0,5.5780347694050185,7.22869655941472,0,6.544576933889678,10.576839685440063,0
17,5.14903928984457,5.327065796994452,0,5.252993220713601,5.9330954231433015,0,5.960941713247726,9.62942962504145,0
18,5.155582175110326,5.23677182558811,0,5.296456705440175,5.786870223103148,0,5.88364372108922,9.569632884227868,0
19,5.3574955204883254,6.327762017767113,2,5.501178253127868,7.06343544965767,0,6.340952930680241,10.338320973407791,0
20,5.36529803276062,6.229605171241258,6,5.495683914736698,6.984221138452229,0,6.244969531109459,10.316007080831024,0
21,5.3269332581824,6.057608187853635,6,5.504140953441243,6.699376139012013,1,6.0875346320016055,10.068393319517702,0
22,5.274276775121689,5.826422299444676,0,5.394694340229035,6.47720014974475,0,6.092517775297165,9.875462007522584,0
23,5.256318018549964,5.838838751826968,58,5.415947828974042,6.442102198089871,90,6.107860621951875,9.916471583502632,0
24,5.3127961953481035,5.920463704400591,67,5.466196563508776,6.572557661268446,83,6.098565247323777,9.90036411417855,0
25,5.44483670981034,6.94527084412782,40,5.616247405176578,7.6493398624917734,30,6.4664821780246236,10.593299959016882,0
26,5.251433872595067,5.714036054545787,2,5.378194628692254,6.347917066114705,0,6.063206335393394,9.920786049307846,0
27,5.378438961811555,6.158427325578836,0,5.541350089586697,6.798768498958685,0,6.3296221525241165,10.360962934983082,0
28,5.307741471190951,5.690894598391519,0,5.468752619045883,6.294960630473806,0,6.227939392203715,9.83763871975799,0
29,5.329843830276323,6.03205224282139,0,5.457806382860457,6.720840608025646,0,6.182488064189535,10.169809813027854,0
30,5.316996207182434,6.13351999617171,12,5.472740474788622,6.769233707723945,22,6.309988756289427,10.201425464673974,0
31,5.325962976405494,6.328770069699539,0,5.492090087187917,7.016415397587576,0,6.215904380145825,10.164683367076673,0
32,5.297708621777986,6.093871247140985,13,5.420453392831903,6.787295681551883,8,6.283450126647949,10.173715059380783,0
33,5.3639908192005565,6.345222583476533,162,5.517226168449889,7.079110685815203,39,6.234892063952507,10.142395511586614,1
34,5.227276537968564,5.602557835212121,0,5.362069005232591,6.226593195475065,0,6.130382185715896,9.995870979015645,0
35,5.228739223982158,5.620583951473236,0,5.38314191918624,6.176478508271669,0,6.087397136186299,9.773343406225505,0
36,5.340238597334886,5.962676014842057,11,5.457398461132515,6.631802800225049,1,6.252728642486945,10.05837642274252,0
37,5.3218206591989805,6.112824770225876,4,5.482639416880991,6.745237088066408,4,6.247770660225003,10.257569351415526,0
38,5.180747211956588,5.32209454403549,0,5.305420555052211,5.894307904556149,0,5.917703370578954,9.61690969154483,0
39,5.24644686737839,5.740627196978549,296,5.386042794402764,6.424987178067771,223,6.0590894611514345,9.973633031455837,0
40,5.323974580031175,5.734568997529838,0,5.47602931536161,6.386390211948982,0,6.147294051830586,9.96999462567843,0
41,5.158208100692086,5.282403496728428,0,5.301213962444361,5.853465272032696,0,5.972174913986869,9.732885250146838,0
42,5.336378785628307,6.186301874209054,6,5.494516209711001,6.890274992472008,4,6.292956545383116,10.219893377038495,0
43,5.229358648952049,5.378052542481241,0,5.361243133303486,5.951205140427698,0,5.96126486379889,9.527982597109636,0
44,5.355213022851325,5.987759502677175,0,5.480695544899285,6.609328496765781,0,6.213642745823056,10.091096512683027,0
45,5.367919037307518,6.2045328262923425,0,5.46968474595443,6.881511769432952,0,6.172170514645785,10.252267049706502,0
46,5.296723168236868,6.0369089824812745,0,5.479932444436209,6.655372692857469,0,6.185578346252441,10.09688950947353,0
