,hebb,hebb,hebb,hebb_smooth_rate,hebb_smooth_rate,hebb_smooth_rate,rate,rate,rate
,1800,1800,1800,1800,1800,1800,1800,1800,1800
,tot_excit,tot_inhib,act_counts,tot_excit,tot_inhib,act_counts,tot_excit,tot_inhib,act_counts
0,5.336351781278044,5.568501361318537,0,5.34347364709184,5.747508894752812,0,6.023684714291547,9.590711136122009,0
1,5.413049304341696,6.267114873571568,6,5.4136746216969325,6.5096392543560055,1,6.264295859509204,10.071368878146252,0
2,5.329814833563728,5.622370400944272,0,5.342013081988774,5.786867533181165,0,6.044220975927405,9.758883688900923,0
3,5.3787645872901475,6.058300567023895,0,5.399606297997868,6.2989421451793,0,6.1320901407915,9.787725918433246,0
4,5.338165904698747,5.667262481839469,0,5.323431625794829,5.868054045050332,0,6.079196812061781,9.671398441443282,0
5,5.39496666506717,5.963568925857544,0,5.368795156478882,6.154078791016025,0,6.045426839276364,9.718142252219351,0
6,5.4585675026508085,6.113292758769177,12,5.444705055115071,6.33392636573061,7,6.2269817362440385,9.935646239747392,0
7,5.41568328857422,6.097127250035605,4,5.442014935811361,6.37465589841207,2,6.163319778442383,9.865577754974368,0
8,5.401755405796899,6.108829047944811,0,5.41276306576199,6.3224006377988395,0,6.174918784035577,10.00990723239051,0
9,5.372544376329444,5.9492930968602495,32,5.381950334570874,6.234211712047971,33,6.126131644194153,9.70305329903789,0
10,5.401986581523245,6.005826915182718,1,5.389908011366681,6.256479964023684,0,6.217692433333979,9.709295232121537,0
11,5.386018860340119,6.0603903725743296,0,5.372476506233216,6.34365955889225,0,6.148120439052582,9.898829907178879,0
12,5.513231700116938,6.315558808771047,25,5.500811387192119,6.568764421750199,14,6.27926624363119,10.135840009559285,0
13,5.340848780967095,5.516471145926296,0,5.360329718203158,5.674123483735162,0,6.033891536094047,9.425753329251265,0
14,5.391425988445543,5.899196024626902,0,5.389448316129919,6.12519799683192,0,6.326716109497906,9.85642467786188,0
15,5.502463842693127,6.618415270353618,460,5.483092679475483,6.918887306514539,1073,6.4523797838311445,10.141650832326789,102
16,5.509000337485111,6.574299028425505,0,5.507316885572492,6.805566993626681,0,6.425666281671234,10.201812079458527,0
17,5.2385295327030015,5.480211069334799,0,5.239527659629708,5.72405619585692,0,6.098737140200031,9.577378579040072,0
18,5.294638879371411,5.622080183390416,0,5.298522154490152,5.835433824495836,0,6.000152515642571,9.596019181338225,0
19,5.498199853552393,6.66194510029023,0,5.497387656246324,6.929558626140457,0,6.352247422000012,10.338392780487798,0
20,5.495036269489088,6.446184001470867,1,5.476179298601652,6.72490036801288,0,6.397205584927609,10.263877598862898,0
21,5.468209869259006,6.251660808757112,1,5.493209555908875,6.485545978441344,0,6.162065726060134,9.859401131724264,0
22,5.354660224914551,6.002009856700898,0,5.367482632398606,6.197949688136578,0,6.110262191295624,9.649502021074294,0
23,5.391972706431434,5.793670201585407,28,5.3696976502736415,5.992615322271982,7,6.00634427297683,9.714606001263572,0
24,5.4303665558497105,5.9626896811856165,3,5.457245111465454,6.166030776169565,1,6.16253904501597,9.706386003229353,0
25,5.538697330848031,7.076602043017097,1,5.559085902960404,7.271300472643064,12,6.480601512867472,10.456953763961792,0
26,5.3516217848149745,6.105351134044369,0,5.387517777884879,6.365800338910847,0,6.218159245281684,9.849073555411362,0
27,5.516667971244225,6.308765295224312,0,5.471305425350483,6.592260725987263,0,6.359549277868027,10.098111647825974,0
28,5.447751998901367,6.143752535777306,0,5.458643173103902,6.342368923016449,0,6.256155405471574,9.867603088492777,0
29,5.409150139316098,6.236584929319529,0,5.4123945236206055,6.50800138449931,0,6.315154096582434,10.0113004223331,0
30,5.437468917890527,6.061529378781374,10,5.380563544130874,6.292159029807167,0,6.276229617239415,9.798275563908721,0
31,5.479985262218275,6.528261137636084,0,5.486551648692081,6.7665718150766265,0,6.228826096183375,10.031110274164298,0
32,5.410389890168842,5.961238836614709,0,5.404944173913253,6.163982862547825,1,6.234722774907162,9.805706716838635,0
33,5.409986262625837,6.536558633789103,4,5.4647318403771585,6.743787028053974,60,6.173662875561004,10.024592744543197,0
34,5.350593002025898,5.966056250608885,0,5.345604291329018,6.1993980912061835,0,6.246956069652851,9.935762111957258,0
35,5.365181176285994,5.609777797209588,0,5.342289912073236,5.82023422027889,0,6.1168588399887085,9.638682108176381,0
36,5.45326061365081,6.186123278809757,0,5.434988335865301,6.395128096749143,0,6.243100910651975,9.999984997074778,0
37,5.44103751237365,6.331471289026326,1,5.432963289063553,6.552886592930761,0,6.258437967848503,9.988979937016278,0
38,5.299496455270736,5.401134926764691,0,5.280599812992284,5.598827305387279,0,5.9912365069154845,9.410695412119882,0
39,5.330130377594305,6.092392988350926,8,5.379540565062542,6.315976438473681,11,6.2489394801003595,9.786821691357359,0
40,5.41107039818397,6.013035666025601,0,5.409085633204533,6.235207638373742,0,6.193337719257062,9.840067738753099,0
41,5.297987495643506,5.741311368734939,0,5.303975761800572,5.983171602954035,0,6.039293137149534,9.775055449941885,0
42,5.517085359066348,6.736931619764883,0,5.528116431417343,6.978242196614229,0,6.507024481326718,10.27242399167411,0
43,5.297106398811824,5.447465555577338,0,5.333792354487166,5.634481294245659,0,5.954464326930951,9.427802212630645,0
44,5.448184737911473,6.173629307901705,0,5.442396863714441,6.423826556701165,0,6.47902807012781,9.909419425122149,0
45,5.42698759963547,6.177317812822867,0,5.416669714278069,6.405086490555087,0,6.235756901727206,10.064181369283926,0
46,5.4558270454406745,6.159519907406398,0,5.460954189300537,6.359993737084525,0,6.139552770342146,9.81760629926409,0
47,5.47410942595682,6.35809631553697,0,5.468896129984914,6.589993522490984,0,6.34816116756863,9.977682054778676,0
48,5.390515279769897,5.762684946400778,0,5.403572239194597,5.959428339345115,0,6.060213395527432,9.610871287754604,0
49,5.5636164964135,6.94956489107502,0,5.590337191055069,7.220694374682298,0,6.513616860802495,10.267932279786066,0
50,5.4905330042044325,6.553866996119419,241,5.465186238288879,6.941508984814087,301,6.222949758172035,10.112709710995356,0
51,5.356595477838626,5.673393339946353,0,5.328676278563751,5.883933320127684,0,6.071831516835881,9.696208230380353,0
52,5.55136392202722,6.69072576028755,0,5.5568761308509185,6.946456649217262,0,6.473188135997359,10.396455799240664,0
53,5.409697023305026,6.172174083915624,0,5.430974879048088,6.4138845083388425,0,6.177433355288072,9.869470699266953,0
54,5.454391931665355,6.521954117150143,1,5.443970584321296,6.857392663928284,0,6.448853796926038,10.133641577315055,0
55,5.363788664340973,6.059898605570197,0,5.357994399964809,6.331734515726566,0,6.163643404841423,9.83355887979269,0
56,5.3606411406868375,5.782910888132296,0,5.373491644859314,5.986223841968336,0,6.16860736671247,9.840210036227576,0
57,5.363306540477125,6.068953099130075,0,5.3645032810259465,6.335527745228779,0,6.255576218230814,9.802604119988937,0
58,5.473670209248861,6.215310004552206,0,5.469369049072266,6.424189880688986,0,6.3753672663370775,10.071011193593344,0
59,5.440958499908447,6.555413246154787,24,5.434768013332201,6.818427649097167,154,6.539205551147461,10.114845365717791,0
60,5.544839947494035,7.0086804026180936,75,5.537016603135571,7.311178234434619,454,6.441876740799737,10.402198742345437,75
61,5.327741363380529,5.7268216542050805,0,5.331340331065504,5.968823914286456,0,6.063355216497108,9.571974856944024,0
62,5.456552322999931,6.027179110197373,0,5.464833029994258,6.215694422339215,0,6.207858391750006,9.807665459903669,0
63,5.4623441934585575,6.338089520856738,0,5.4767162024974825,6.621522440016271,0,6.370772987604141,10.022592276334763,0
64,5.325820184889293,5.631629645824432,0,5.312252822376433,5.8316310842831935,0,5.961280476479303,9.49257209187462,0
65,5.289541396829817,5.622185741861661,0,5.275170822938283,5.824932075209087,0,5.9408769607543945,9.62705659866333,0
66,5.292883946862019,5.337708916462644,0,5.311850185125646,5.495731551882247,0,5.942424848046102,9.434900263665428,0
